CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,250,"3,505.95","3,645.10",250,"14,050.00","2,950",0.45,0.55,"5,550",-0.05,0.45,83.52,"1,907",76,"1,750",
,-,-,-,-,-,-,"1,500","3,488.95","3,596.95","1,000","14,100.00","4,000",0.50,0.65,"1,300",-,0.50,83.07,"2,446",-551,928,
,-,-,-,-,-,-,"1,500","3,444.50","3,512.60","1,500","14,150.00","5,450",0.30,0.60,"1,250",-0.15,0.60,83.19,350,49,127,
,-,-,-,-,-,-,"1,500","3,398.20","3,462.45","1,500","14,200.00","1,000",0.50,0.65,450,-,0.50,80.65,"2,358",143,539,
,-,-,-,-,-,-,"1,500","3,343.40","3,412.75","1,500","14,250.00",950,0.40,0.70,300,-0.10,0.65,81.33,400,1,74,
,-,-,-,-,-,-,"1,500","3,291.20","3,361.30","1,500","14,300.00","2,650",0.50,0.65,"3,150",0.05,0.50,78.24,"1,030",-590,205,
,-,-,-,-,-,-,"3,000","3,178.30","3,350.85","1,500","14,350.00",150,0.45,0.70,"4,800",0.05,0.45,76.33,"1,011",-422,194,
,-,-,-,-,-,-,"1,500","3,194.75","3,320.70","3,000","14,400.00","1,900",0.40,0.65,"1,600",-0.05,0.50,75.84,582,-119,56,
,-,-,-,-,-,-,"1,500","3,146.90","3,270.10","2,500","14,450.00",500,0.40,0.70,100,-0.25,0.45,73.96,232,-55,191,
,-,-,-,-,-,-,"1,500","3,094.00","3,162.50","1,500","14,500.00","12,650",0.50,0.65,"4,200",-,0.50,73.45,"9,381","-1,664","1,254",
,-,-,-,-,-,-,"1,500","3,044.50","3,161.60","2,500","14,550.00","3,450",0.45,0.80,100,0.10,0.80,75.47,226,-64,54,
,-,-,-,-,-,-,"1,500","2,995.35","3,063.35","1,500","14,600.00","5,350",0.50,0.65,"1,400",-0.10,0.50,71.08,"1,356",-45,119,
,-,-,-,-,-,-,"1,500","2,864.10","3,081.90","1,000","14,650.00","3,700",0.55,0.85,"2,700",-0.40,0.75,72.56,921,60,128,
,-,-,-,-,-,-,"1,500","2,894.70","3,003.20","1,500","14,700.00","3,600",0.50,0.65,"1,500",-0.10,0.50,68.72,782,-60,70,
,1,-,-,-,"3,045.00",-,"1,500","2,844.65","2,913.35","1,500","14,750.00",50,0.60,0.90,"1,800",-0.35,0.60,68.67,441,-5,89,
,-,-,-,-,-,-,"1,500","2,796.30","2,895.25","2,500","14,800.00","7,300",0.50,0.65,"1,350",-0.15,0.50,66.37,"1,138",-49,88,
,-,-,-,-,-,-,"1,500","2,742.35","2,813.40","1,500","14,850.00",850,0.55,0.70,"1,450",-0.30,0.55,65.76,"5,394",-33,42,
,-,-,-,-,-,-,"1,500","2,692.40","2,762.75","1,500","14,900.00","1,450",0.50,0.80,"2,850",0.10,0.75,66.50,"1,523",44,183,
,-,-,-,-,-,-,"1,500","2,588.65","2,743.85","2,500","14,950.00",100,0.55,0.90,100,-0.05,0.75,65.29,345,3,100,
,-,-,-,-,-,-,400,"2,586.60","2,645.15",400,"15,000.00","57,800",0.50,0.60,"11,250",-,0.55,62.23,"42,847","-3,985","13,500",
,-,-,-,-,-,-,"1,500","2,548.00","2,651.10","1,500","15,050.00","2,050",0.65,0.85,"2,800",-0.20,0.65,62.03,537,90,243,
,-,-,-,-,-,-,"1,500","2,427.05","2,583.95","3,000","15,100.00",100,0.60,0.75,100,-0.20,0.60,60.38,"1,447",-16,238,
,-,-,-,-,-,-,"1,500","2,447.35","2,512.65","1,500","15,150.00","1,100",0.60,0.70,50,-0.55,0.60,59.21,202,8,128,
,-,-,-,-,-,-,"1,500","2,353.65","2,479.25","1,500","15,200.00","2,700",0.55,0.75,"1,300",-0.10,0.60,58.04,"5,791","-3,817",510,
,-,-,-,-,-,-,"1,500","2,343.25","2,468.05","2,500","15,250.00",200,0.65,0.80,50,-0.55,0.65,57.30,413,61,130,
,-,-,-,-,-,-,"1,500","2,241.35","2,362.50","1,500","15,300.00","2,000",0.60,0.85,100,-0.30,0.60,55.70,"1,918",108,294,
,-,-,-,-,-,-,"1,500","2,243.00","2,312.80","1,500","15,350.00",100,0.70,0.90,"1,000",-0.50,0.90,56.76,268,21,71,
,-,-,-,-,-,-,"1,500","2,197.80","2,276.95","1,500","15,400.00",650,0.70,0.80,500,-0.35,0.70,54.17,"1,018",12,196,
,-,-,-,-,-,-,"1,500","2,147.75","2,212.85","1,500","15,450.00","2,700",0.70,1.00,150,-0.20,0.75,53.36,620,-134,105,
,-,-,-,-,-,-,"2,050","2,096.80","2,162.85","2,550","15,500.00","68,600",0.80,0.90,950,-0.15,0.90,53.15,"30,092","-1,558","3,825",
,-,-,-,-,-,-,"1,500","2,009.85","2,114.40","1,500","15,550.00","3,550",0.75,1.20,100,-0.30,0.80,51.33,670,-8,192,
,-,-,-,-,-,-,"1,500","1,955.85","2,062.85","1,500","15,600.00",700,1.00,1.20,100,-0.05,1.00,51.32,"3,007",-198,506,
,-,-,-,-,-,-,"1,500","1,948.70","2,012.00","1,500","15,650.00",50,0.90,1.30,100,-0.25,0.90,49.56,386,-76,67,
,-,-,-,-,-,-,"1,500","1,895.10","1,962.85","1,500","15,700.00",450,0.95,1.80,"1,200",-0.20,0.95,48.64,"4,165",-144,573,
,-,-,-,-,-,-,"1,500","1,848.55","1,917.80","1,500","15,750.00",100,0.90,1.40,100,-0.05,1.15,48.42,865,-34,132,
,-,-,-,-,-,-,"1,500","1,795.40","1,863.10","1,500","15,800.00","2,000",1.20,1.60,200,0.55,1.60,49.00,"16,617",512,"3,437",
,-,-,-,-,-,-,"1,500","1,747.30","1,839.75","1,500","15,850.00",100,1.15,1.50,100,-,1.35,46.82,"1,896",49,160,
,2,-1,3,-,"1,692.55",72.55,350,"1,699.15","1,740.20",250,"15,900.00",100,1.30,1.70,300,-0.15,1.30,45.39,"20,684",698,"2,037",
,-,-,-,-,-,-,"1,500","1,645.10","1,738.50","1,500","15,950.00",450,1.45,1.55,600,-0.10,1.45,44.72,"9,211",175,452,
,38,1,6,43.83,"1,636.95",46.95,150,"1,601.65","1,643.75",100,"16,000.00","3,450",1.50,1.55,"2,050",-0.20,1.55,43.82,"1,81,428","6,290","31,563",
,-,-,-,-,-,-,"1,500","1,510.00","1,613.50","1,500","16,050.00",100,1.25,1.60,100,-0.45,1.35,41.89,"16,086",203,551,
,-,-,-,-,-,-,150,"1,521.85","1,548.10",150,"16,100.00","11,400",1.50,1.90,50,-0.40,1.50,41.16,"66,127","2,142","7,330",
,-,-,-,-,-,-,150,"1,444.90","1,505.35",150,"16,150.00","1,400",1.75,2.45,100,-0.20,1.95,41.21,"15,258",606,"1,090",
,20,-,-,-,"1,680.00",-,550,"1,400.60","1,440.20",150,"16,200.00",250,1.65,2.00,250,-0.30,2.00,40.07,"81,895","3,208","10,265",
,-,-,-,-,-,-,300,"1,350.60","1,392.35",150,"16,250.00",750,1.50,2.90,100,-1.00,1.50,37.43,"19,130","1,391","2,174",
,41,-,3,-,"1,287.00",-61.30,850,"1,301.10","1,339.80",50,"16,300.00",50,1.95,2.40,100,-0.95,1.95,37.38,"1,20,866","-1,446","18,000",
,-,-,-,-,-,-,300,"1,249.00","1,296.70",300,"16,350.00",150,2.00,2.30,100,-0.85,2.20,36.68,"24,774",696,"1,445",
,96,-,11,53.53,"1,260.00",120.00,850,"1,201.35","1,242.20",150,"16,400.00","20,350",2.40,2.50,"3,400",-0.95,2.50,35.99,"1,39,388","4,529","17,221",
,-,-,-,-,-,-,300,"1,151.85","1,197.70",450,"16,450.00",200,2.20,2.55,150,-1.35,2.55,34.77,"33,023","1,938","3,359",
,505,108,173,-,"1,130.00",76.85,"5,200","1,120.55","1,135.00",500,"16,500.00","6,850",2.60,2.80,100,-1.80,2.70,33.72,"3,36,786","15,303","98,694",
,3,3,3,-,921.70,193.40,600,"1,052.05","1,097.80",900,"16,550.00",100,2.50,3.15,50,-1.60,3.15,33.11,"62,163","4,935","11,964",
,93,5,23,-,"1,031.00",85.15,150,"1,022.15","1,039.35",150,"16,600.00",450,3.15,3.50,"1,900",-2.35,3.15,31.76,"2,32,678","25,206","48,561",
,9,-,-,-,"1,290.00",-,"4,150",948.90,"1,006.95","3,650","16,650.00",450,3.65,3.95,150,-2.65,3.65,31.09,"66,830","2,839","7,687",
,121,11,30,-,930.80,82.30,150,929.70,942.05,"3,700","16,700.00",550,3.75,4.20,450,-3.35,4.00,30.13,"3,02,302","20,322","53,842",
,36,4,14,-,871.15,-445.25,200,877.20,915.65,150,"16,750.00","22,950",4.50,4.60,50,-3.75,4.90,29.70,"1,15,230",-3,"12,783",
,211,-214,831,-,835.00,71.90,150,828.70,840.00,"3,500","16,800.00",50,5.30,5.95,100,-5.60,5.10,28.45,"4,17,950","4,272","62,314",
,10,2,7,-,775.45,57.60,"3,800",776.20,793.40,"2,400","16,850.00",100,5.50,6.25,500,-6.95,5.50,27.35,"1,48,690","2,556","12,677",
,99,36,413,19.70,737.00,79.20,150,733.10,742.15,100,"16,900.00","3,300",6.75,8.00,650,-7.60,8.00,27.74,"4,01,880","3,818","45,614",
,43,15,54,-,679.20,61.70,150,661.95,700.30,"1,400","16,950.00",200,8.50,8.90,"1,000",-9.95,8.90,26.75,"1,64,324","2,059","12,539",
,"1,364",14,"9,883",22.32,641.00,70.05,50,639.05,644.80,150,"17,000.00","1,800",10.80,11.00,"4,450",-12.70,11.00,26.31,"8,69,406",441,"92,871",
,131,93,393,-,584.80,63.80,450,587.90,610.20,150,"17,050.00",100,11.90,13.00,"1,200",-16.40,11.65,24.98,"1,84,532","3,259","11,935",
,465,32,"3,753",23.05,547.45,62.75,450,539.40,548.95,150,"17,100.00",400,15.25,15.95,50,-19.20,15.40,24.91,"5,52,609","4,210","48,378",
,210,42,"1,430",-,476.35,39.75,450,488.85,525.30,450,"17,150.00",200,19.75,20.15,550,-22.00,19.75,24.72,"2,44,291","10,553","18,748",
,"1,706",-391,"13,634",22.22,454.30,55.55,500,454.30,457.95,150,"17,200.00",50,25.05,25.50,"1,100",-25.50,25.45,24.62,"9,75,600","16,466","66,411",
,241,-21,"4,543",22.31,410.80,45.55,450,404.40,417.40,100,"17,250.00","3,000",30.00,31.90,150,-30.70,30.30,23.96,"3,87,213","3,275","14,357",
,"1,718",132,"43,593",22.60,369.75,46.65,300,366.55,371.95,150,"17,300.00",50,38.05,38.90,50,-33.85,38.90,23.95,"11,61,598","29,894","79,920",
,353,-255,"19,163",21.98,326.75,37.40,200,321.80,334.40,450,"17,350.00",50,47.65,48.80,950,-39.85,47.00,23.45,"5,21,174","5,636","20,514",
,"4,236",526,"1,73,494",22.32,289.95,35.15,150,286.90,290.00,950,"17,400.00",100,58.35,58.90,50,-43.75,58.40,23.29,"15,29,807","18,808","79,240",
,"1,896",-116,"1,36,678",22.33,254.00,30.50,300,248.90,254.00,"1,050","17,450.00",50,71.15,73.00,350,-49.00,71.15,23.01,"6,02,901","8,284","17,739",
,"35,527","-5,364","9,40,219",22.26,220.00,27.65,300,216.55,218.00,450,"17,500.00",650,87.60,87.70,50,-54.75,87.60,22.97,"24,28,579","26,804","1,08,062",
